Response,Word played,Morph played,Device,Reaction time
0,Heim,_0,h,0
0,Baum,50,h,0
0,Huhn,60,h,0
0,Helm,100,s,0
0,Lamm,10,h,0
1,Heim,10,s,930
0,Helm,40,h,0
0,Baum,80,h,0
0,Lamm,60,s,0
1,Baum,20,h,1022
1,Helm,30,h,601
1,Bein,30,s,1270
1,Bahn,20,s,832
0,Helm,80,s,0
0,Bahn,100,h,0
0,Helm,_0,s,0
0,Arm,50,s,0
1,Wurm,40,s,1480
1,Huhn,100,s,1132
1,Bein,30,s,860
0,Huhn,100,h,0
0,Wurm,50,s,0
1,Heim,_0,h,628
0,Wurm,80,s,0
0,Buch,80,h,0
0,Lamm,_0,s,0
0,Helm,60,s,0
0,Bein,60,h,0
1,Huhn,30,h,1063
0,Helm,40,s,0
1,Heim,20,h,1707
0,Baum,20,s,0
0,Helm,50,h,0
0,Lamm,10,h,0
0,Bahn,10,s,0
1,Huhn,40,h,1024
0,Buch,_0,s,0
0,Huhn,80,s,0
1,Heim,40,s,1495
1,Bahn,10,h,362
0,Buch,60,s,0
0,Huhn,10,s,0
1,Heim,30,h,735
1,Helm,40,h,881
0,Wurm,20,h,0
0,Helm,50,h,0
0,Huhn,_0,h,0
0,Baum,20,s,0
0,Heim,100,s,0
0,Lamm,100,h,0
0,Buch,50,s,0
0,Lamm,30,s,0
0,Wurm,60,h,0
0,Helm,80,h,0
0,Huhn,60,h,0
0,Buch,40,s,0
0,Helm,30,s,0
1,Bahn,_0,h,421
0,Bein,100,s,0
1,Helm,20,h,737
0,Bahn,60,s,0
0,Huhn,100,h,0
1,Helm,30,h,889
1,Arm,_0,s,1544
1,Lamm,10,s,739
0,Huhn,10,h,0
0,Wurm,80,s,0
0,Baum,80,h,0
0,Helm,50,s,0
1,Bein,20,s,583
0,Arm,40,h,0
0,Baum,50,h,0
0,Buch,30,s,0
0,Bein,_0,s,0
0,Baum,10,s,0
1,Buch,_0,h,724
0,Bein,100,s,0
1,Helm,50,h,1571
0,Wurm,60,s,0
0,Baum,20,s,0
0,Buch,20,h,0
1,Arm,10,h,472
0,Buch,40,h,0
0,Lamm,100,h,0
0,Heim,40,s,0
0,Bahn,60,h,0
0,Wurm,50,s,0
0,Lamm,30,h,0
0,Bein,80,s,0
0,Wurm,80,h,0
0,Buch,20,h,0
0,Lamm,50,s,0
0,Arm,100,s,0
0,Lamm,10,s,0
0,Buch,40,h,0
0,Bein,50,h,0
0,Baum,80,h,0
1,Helm,30,h,1266
0,Buch,30,s,0
1,Heim,_0,s,597
0,Lamm,60,s,0
0,Baum,10,h,0
0,Huhn,100,h,0
1,Bahn,_0,h,548
0,Huhn,20,s,0
1,Bahn,60,h,1014
0,Buch,80,s,0
0,Heim,40,s,0
0,Helm,30,h,0
0,Bein,100,h,0
0,Buch,40,s,0
0,Baum,80,s,0
1,Lamm,10,h,1497
1,Helm,_0,h,594
0,Arm,50,h,0
0,Helm,60,h,0
0,Bahn,20,s,0
0,Heim,40,h,0
0,Bahn,30,s,0
0,Bein,80,h,0
0,Arm,60,s,0
0,Lamm,100,s,0
0,Helm,10,s,0
1,Heim,_0,s,841
0,Baum,20,h,0
0,Arm,50,s,0
1,Buch,10,h,609
0,Baum,40,h,0
0,Helm,30,s,0
0,Lamm,20,s,0
1,Huhn,30,h,361
0,Bahn,50,s,0
0,Arm,10,s,0
1,Bahn,60,h,1703
1,Huhn,_0,h,1218
0,Lamm,50,h,0
0,Wurm,60,s,0
0,Heim,100,s,0
0,Buch,40,s,0
0,Baum,80,s,0
0,Buch,20,h,0
0,Arm,_0,s,0
0,Buch,100,h,0
0,Bahn,80,h,0
0,Bein,80,s,0
0,Bahn,_0,s,0
1,Helm,40,h,1106
1,Buch,40,s,1170
0,Arm,50,h,0
0,Wurm,60,s,0
0,Lamm,100,h,0
1,Huhn,10,s,1483
0,Baum,60,h,0
0,Heim,100,s,0
0,Lamm,20,s,0
1,Heim,_0,h,577
1,Bein,30,h,343
0,Huhn,30,s,0
1,Bein,20,h,359
0,Arm,80,h,0
0,Baum,50,s,0
1,Bahn,10,h,358
0,Buch,30,s,0
0,Lamm,100,h,0
0,Buch,_0,s,0
0,Baum,40,s,0
1,Bahn,10,h,900
0,Wurm,60,s,0
1,Arm,20,h,704
1,Bahn,10,s,1762
0,Lamm,80,s,0
0,Heim,80,h,0
0,Lamm,30,h,0
1,Huhn,40,h,1564
0,Arm,50,s,0
0,Bahn,20,s,0
0,Lamm,100,s,0
0,Heim,50,h,0
0,Buch,60,h,0
1,Bein,_0,h,361
0,Lamm,40,h,0
0,Arm,10,s,0
1,Helm,30,h,1061
0,Wurm,50,h,0
0,Buch,60,h,0
0,Helm,_0,h,0
0,Heim,_0,s,0
0,Lamm,60,s,0
0,Heim,50,s,0
1,Bahn,20,h,687
1,Bein,30,s,468
0,Buch,80,h,0
0,Lamm,100,h,0
0,Arm,40,s,0
0,Bahn,100,s,0
0,Buch,80,s,0
0,Helm,20,s,0
1,Bahn,10,h,1390
0,Bein,60,s,0
0,Arm,30,s,0
0,Lamm,60,h,0
0,Buch,80,h,0
0,Lamm,20,s,0
0,Arm,40,h,0
1,Baum,20,h,749
0,Bein,100,s,0
0,Lamm,100,h,0
0,Bein,50,h,0
0,Baum,_0,s,0
0,Bahn,50,s,0
1,Bein,_0,h,437
1,Heim,10,h,299
0,Arm,10,s,0
0,Baum,40,s,0
1,Bein,30,h,187
0,Arm,80,s,0
1,Huhn,40,h,375
0,Bein,60,s,0
0,Huhn,20,s,0
0,Arm,_0,s,0
1,Bahn,_0,h,421
0,Baum,10,s,0
0,Wurm,100,h,0
0,Heim,50,h,0
0,Bein,50,s,0
1,Arm,20,h,469
1,Bahn,10,h,907
0,Huhn,30,s,0
0,Buch,30,h,0
0,Wurm,100,s,0
0,Bahn,80,h,0
0,Lamm,80,s,0
0,Bein,60,h,0
0,Helm,40,s,0
1,Bahn,10,h,423
1,Heim,40,h,641
1,Bein,20,s,734
0,Helm,50,s,0
0,Buch,100,h,0
0,Baum,80,h,0
0,Huhn,80,s,0
0,Bahn,60,h,0
1,Buch,_0,h,592
1,Helm,50,h,1634
0,Bahn,10,s,0
0,Wurm,40,s,0
0,Helm,100,s,0
1,Bein,30,s,482
0,Wurm,60,s,0
0,Huhn,30,h,0
0,Baum,_0,s,0
0,Wurm,20,h,0
0,Bahn,40,s,0
0,Heim,60,s,0
0,Helm,100,s,0
1,Arm,20,h,765
0,Buch,20,s,0
0,Huhn,_0,h,0
0,Wurm,30,s,0
0,Lamm,30,h,0
0,Heim,40,h,0
0,Buch,50,s,0
0,Helm,100,h,0
1,Huhn,10,h,545
0,Helm,80,s,0
1,Baum,_0,s,716
0,Helm,10,s,0
0,Bahn,50,h,0
0,Heim,80,h,0
0,Lamm,60,h,0
