Response,Word played,Vocode band,Device,Voice,Reaction time
0,Bahn,06,h,other,0
0,Heim,08,h,other,0
0,Lamm,09,h,other,0
1,Bahn,03,s,own,671
1,Heim,01,h,own,484
1,Buch,01,s,own,720
0,Huhn,06,h,own,0
0,Lamm,08,h,own,0
0,Wurm,08,s,own,0
0,Bein,06,s,other,0
0,Huhn,06,s,own,0
0,Buch,07,h,other,0
1,Heim,04,h,other,609
0,Helm,04,h,own,0
0,Buch,07,h,own,0
1,Bein,04,s,other,531
1,Arm,09,s,own,543
0,Bein,09,s,other,0
1,Helm,03,h,other,794
1,Wurm,01,h,other,594
0,Bein,04,s,own,0
1,Helm,05,s,own,1125
0,Buch,03,s,other,0
1,Huhn,02,h,own,312
1,Heim,05,h,own,2013
1,Wurm,05,h,other,484
1,Bein,01,s,other,962
0,Bahn,02,h,other,0
1,Helm,08,s,other,1142
1,Lamm,09,h,own,1095
0,Huhn,07,s,other,0
0,Heim,02,s,own,0
0,Helm,07,s,own,0
1,Baum,05,s,other,1641
0,Bahn,02,s,other,0
1,Buch,03,h,own,360
1,Bein,05,s,own,578
0,Arm,06,h,other,0
1,Heim,02,s,own,1267
0,Huhn,05,s,other,0
1,Helm,03,h,own,752
0,Bahn,08,s,own,0
0,Baum,09,s,other,0
1,Bein,05,h,other,327
1,Buch,01,s,other,375
0,Arm,09,s,own,0
0,Bahn,09,h,other,0
0,Huhn,07,s,other,0
1,Helm,01,h,other,422
0,Bein,08,h,other,0
1,Baum,06,s,other,1311
0,Wurm,08,s,other,0
0,Arm,07,h,other,0
0,Helm,08,h,own,0
0,Buch,06,h,own,0
0,Huhn,04,s,own,0
1,Wurm,03,h,other,578
1,Lamm,02,s,other,484
1,Heim,04,h,other,671
1,Arm,01,h,own,1028
1,Helm,03,s,other,752
1,Heim,02,h,other,218
1,Buch,02,h,own,1161
0,Huhn,05,h,own,0
1,Baum,06,s,own,1388
1,Huhn,03,s,own,1328
0,Bein,07,h,own,0
1,Lamm,07,s,own,831
1,Huhn,04,h,own,953
1,Lamm,04,s,other,2015
1,Heim,01,s,own,1014
0,Lamm,09,h,own,0
1,Wurm,01,s,own,872
1,Bein,04,s,other,1374
1,Buch,02,s,own,658
1,Wurm,02,h,other,312
1,Bahn,08,h,own,421
0,Huhn,06,s,own,0
0,Wurm,07,h,other,0
1,Buch,04,s,own,1612
0,Wurm,04,h,own,0
0,Bahn,07,h,own,0
1,Lamm,01,h,own,845
0,Wurm,06,s,other,0
0,Helm,09,s,other,0
1,Buch,03,h,own,798
0,Helm,09,h,own,0
1,Wurm,03,s,other,1046
0,Heim,08,h,other,0
0,Huhn,09,h,other,0
0,Buch,06,h,own,0
1,Heim,05,s,other,1095
1,Baum,03,h,other,1111
1,Helm,06,h,other,780
0,Bahn,04,h,other,0
1,Huhn,01,h,other,500
1,Lamm,05,h,own,1221
1,Buch,05,h,other,1261
0,Helm,07,s,own,0
